CD,DEM,REP,MARGIN,REMAIN
ak-00,54.96,45.04,+9.92,0.00
al-01,--,83.61,--,16.39
al-02,29.16,69.09,-39.93,1.75
al-03,25.14,71.22,-46.08,3.64
al-04,13.64,84.12,-70.48,2.24
al-05,29.55,67.09,-37.54,3.36
al-06,--,83.73,--,16.27
al-07,63.54,34.76,+28.78,1.70
ar-01,26.2,73.8,-47.60,0.00
ar-02,35.26,60.04,-24.78,4.70
ar-03,32.89,63.69,-30.80,3.42
ar-04,26.19,71,-44.81,2.81
az-01,49.56,50.44,-0.88,0.00
az-02,46.12,53.86,-7.74,0.02
az-03,76.98,23.02,+53.96,0.00
az-04,56.1,43.89,+12.21,0.01
az-05,37.39,56.74,-19.35,5.87
az-06,49.23,50.73,-1.50,0.04
az-07,64.54,35.46,+29.08,0.00
az-08,--,96.5,--,3.50
az-09,--,97.77,--,2.23
ca-01,37.93,62.07,-24.14,0.00
ca-02,74.4,25.6,+48.80,0.00
ca-03,46.35,53.65,-7.30,0.00
ca-04,67.8,32.2,+35.60,0.00
ca-05,38.69,61.31,-22.62,0.00
ca-06,55.95,44.05,+11.90,0.00
ca-07,68.26,31.74,+36.52,0.00
ca-08,75.73,24.27,+51.46,0.00
ca-09,54.82,45.18,+9.64,0.00
ca-10,78.93,--,--,21.07
ca-11,83.95,16.05,+67.90,0.00
ca-12,90.47,9.53,+80.94,0.00
ca-13,49.79,50.21,-0.42,0.00
ca-14,69.34,30.66,+38.68,0.00
ca-15,100,--,--,0.00
ca-16,100,--,--,0.00
ca-17,100,--,--,0.00
ca-18,65.85,34.15,+31.70,0.00
ca-19,68.65,31.35,+37.30,0.00
ca-20,32.75,67.25,-34.50,0.00
ca-21,54.18,45.82,+8.36,0.00
ca-22,48.48,51.52,-3.04,0.00
ca-23,38.97,61.03,-22.06,0.00
ca-24,60.57,39.43,+21.14,0.00
ca-25,57.38,42.62,+14.76,0.00
ca-26,54.53,45.47,+9.06,0.00
ca-27,46.76,53.24,-6.48,0.00
ca-28,66.24,33.76,+32.48,0.00
ca-29,100,--,--,0.00
ca-30,100,--,--,0.00
ca-31,59.54,40.46,+19.08,0.00
ca-32,69.17,30.83,+38.34,0.00
ca-33,57.71,42.29,+15.42,0.00
ca-34,100,--,--,0.00
ca-35,57.36,42.64,+14.72,0.00
ca-36,69.75,30.25,+39.50,0.00
ca-37,100,--,--,0.00
ca-38,58.09,41.91,+16.18,0.00
ca-39,57.67,42.33,+15.34,0.00
ca-40,43.16,56.84,-13.68,0.00
ca-41,47.65,52.35,-4.70,0.00
ca-42,68.37,31.63,+36.74,0.00
ca-43,77.33,22.67,+54.66,0.00
ca-44,72.21,27.79,+44.42,0.00
ca-45,47.59,52.41,-4.82,0.00
ca-46,61.79,38.21,+23.58,0.00
ca-47,51.72,48.28,+3.44,0.00
ca-48,39.64,60.36,-20.72,0.00
ca-49,52.63,47.37,+5.26,0.00
ca-50,62.84,37.16,+25.68,0.00
ca-51,61.86,38.14,+23.72,0.00
ca-52,100,--,--,0.00
co-01,80.3,17.53,+62.77,2.17
co-02,69.98,28.01,+41.97,2.01
co-03,49.92,50.08,-0.16,0.00
co-04,36.56,60.94,-24.38,2.50
co-05,40.29,55.95,-15.66,3.76
co-06,60.6,37.43,+23.17,1.97
co-07,56.39,41.4,+14.99,2.21
co-08,48.38,47.69,+0.69,3.93
ct-01,59.4,37.52,+21.88,3.08
ct-02,58.22,40.17,+18.05,1.61
ct-03,56.84,40.68,+16.16,2.48
ct-04,59.41,39.53,+19.88,1.06
ct-05,48.81,48.62,+0.19,2.57
de-00,55.47,42.96,+12.51,1.57
fl-01,32.14,67.86,-35.72,0.00
fl-02,40.2,59.8,-19.60,0.00
fl-03,36.29,62.52,-26.23,1.19
fl-04,39.55,60.45,-20.90,0.00
fl-05,--,0,--,--
fl-06,--,75.33,--,24.67
fl-07,41.47,58.53,-17.06,0.00
fl-08,35.09,64.91,-29.82,0.00
fl-09,53.64,46.36,+7.28,0.00
fl-10,59,39.44,+19.56,1.56
fl-11,35.41,63.07,-27.66,1.52
fl-12,29.62,70.37,-40.75,0.01
fl-13,45.05,53.14,-8.09,1.81
fl-14,56.9,43.1,+13.80,0.00
fl-15,41.46,58.54,-17.08,0.00
fl-16,37.85,62.14,-24.29,0.01
fl-17,35.52,63.84,-28.32,0.64
fl-18,--,74.67,--,25.33
fl-19,31.99,68,-36.01,0.01
fl-20,72.31,27.69,+44.62,0.00
fl-21,36.5,63.5,-27.00,0.00
fl-22,55.11,44.89,+10.22,0.00
fl-23,51.59,46.83,+4.76,1.58
fl-24,71.79,28.21,+43.58,0.00
fl-25,55.09,44.91,+10.18,0.00
fl-26,29.13,70.87,-41.74,0.00
fl-27,42.71,57.29,-14.58,0.00
fl-28,36.31,63.68,-27.37,0.01
ga-01,40.85,59.15,-18.30,0.00
ga-02,54.97,45.03,+9.94,0.00
ga-03,31.25,68.75,-37.50,0.00
ga-04,78.49,21.51,+56.98,0.00
ga-05,82.48,17.52,+64.96,0.00
ga-06,37.78,62.22,-24.44,0.00
ga-07,61.05,38.95,+22.10,0.00
ga-08,31.42,68.58,-37.16,0.00
ga-09,27.65,72.35,-44.70,0.00
ga-10,35.47,64.53,-29.06,0.00
ga-11,37.4,62.6,-25.20,0.00
ga-12,40.4,59.6,-19.20,0.00
ga-13,81.77,18.23,+63.54,0.00
ga-14,34.14,65.86,-31.72,0.00
hi-01,73.7,26.3,+47.40,0.00
hi-02,62.21,35.31,+26.90,2.48
ia-01,46.56,53.36,-6.80,0.08
ia-02,45.84,54.08,-8.24,0.08
ia-03,49.57,50.26,-0.69,0.17
ia-04,30.41,67.31,-36.90,2.28
id-01,26.33,71.34,-45.01,2.33
id-02,36.41,63.59,-27.18,0.00
il-01,67.03,32.96,+34.07,0.01
il-02,67.13,32.87,+34.26,0.00
il-03,68.5,31.5,+37.00,0.00
il-04,68.42,28.07,+40.35,3.51
il-05,69.57,28.82,+40.75,1.61
il-06,54.36,45.64,+8.72,0.00
il-07,99.94,--,--,0.06
il-08,56.89,43.11,+13.78,0.00
il-09,71.69,28.31,+43.38,0.00
il-10,63,37,+26.00,0.00
il-11,56.45,43.55,+12.90,0.00
il-12,25,75,-50.00,0.00
il-13,56.61,43.38,+13.23,0.01
il-14,54.16,45.84,+8.32,0.00
il-15,28.86,71.14,-42.28,0.00
il-16,33.67,66.33,-32.66,0.00
il-17,51.98,48.01,+3.97,0.01
in-01,52.84,47.16,+5.68,0.00
in-02,32.39,64.59,-32.20,3.02
in-03,30.06,65.29,-35.23,4.65
in-04,31.78,68.22,-36.44,0.00
in-05,38.93,61.07,-22.14,0.00
in-06,32.47,67.53,-35.06,0.00
in-07,66.96,30.61,+36.35,2.43
in-08,31.53,65.73,-34.20,2.74
in-09,33.6,63.55,-29.95,2.85
ks-01,32.33,67.67,-35.34,0.00
ks-02,42.36,57.64,-15.28,0.00
ks-03,54.94,42.76,+12.18,2.30
ks-04,36.66,63.34,-26.68,0.00
ky-01,25.1,74.9,-49.80,0.00
ky-02,28.14,71.86,-43.72,0.00
ky-03,61.99,38,+23.99,0.01
ky-04,31.04,65.03,-33.99,3.93
ky-05,17.82,82.17,-64.35,0.01
ky-06,33.63,62.7,-29.07,3.67
la-01,25.19,72.8,-47.61,2.01
la-02,77.11,22.89,+54.22,0.00
la-03,19.96,77.87,-57.91,2.17
la-04,--,0,--,--
la-05,24.39,75.61,-51.22,0.00
la-06,--,86.98,--,13.02
ma-01,61.48,38.37,+23.11,0.15
ma-02,66.2,33.7,+32.50,0.10
ma-03,63.5,36.41,+27.09,0.09
ma-04,96.93,--,--,3.07
ma-05,74,25.93,+48.07,0.07
ma-06,62.88,35.16,+27.72,1.96
ma-07,84.58,15.11,+69.47,0.31
ma-08,69.7,30.13,+39.57,0.17
ma-09,59.17,40.78,+18.39,0.05
md-01,43.13,54.43,-11.30,2.44
md-02,59.23,40.63,+18.60,0.14
md-03,60.19,39.71,+20.48,0.10
md-04,90.1,9.65,+80.45,0.25
md-05,65.9,33.94,+31.96,0.16
md-06,54.72,45.15,+9.57,0.13
md-07,82.06,17.71,+64.35,0.23
md-08,80.18,18.15,+62.03,1.67
me-01,62.93,37.02,+25.91,0.05
me-02,53.05,46.95,+6.10,0.00
mi-01,37.42,59.98,-22.56,2.60
mi-02,34.3,63.68,-29.38,2.02
mi-03,54.87,41.96,+12.91,3.17
mi-04,42.47,54.36,-11.89,3.17
mi-05,34.97,62.42,-27.45,2.61
mi-06,65.89,34.11,+31.78,0.00
mi-07,51.73,46.32,+5.41,1.95
mi-08,52.4,42.27,+10.13,5.33
mi-09,33.17,63.9,-30.73,2.93
mi-10,48.31,48.8,-0.49,2.89
mi-11,61.32,38.68,+22.64,0.00
mi-12,70.84,26.26,+44.58,2.90
mi-13,71.08,23.97,+47.11,4.95
mn-01,42.31,53.83,-11.52,3.86
mn-02,50.87,45.65,+5.22,3.48
mn-03,59.56,40.37,+19.19,0.07
mn-04,67.59,32.26,+35.33,0.15
mn-05,74.33,24.53,+49.80,1.14
mn-06,37.79,61.97,-24.18,0.24
mn-07,27.61,66.95,-39.34,5.44
mn-08,42.72,57.18,-14.46,0.10
mo-01,72.86,24.33,+48.53,2.81
mo-02,43.05,54.89,-11.84,2.06
mo-03,34.89,65.11,-30.22,0.00
mo-04,26.29,71.31,-45.02,2.40
mo-05,61.02,36.44,+24.58,2.54
mo-06,27.48,70.32,-42.84,2.20
mo-07,26.79,70.88,-44.09,2.33
mo-08,21.9,75.99,-54.09,2.11
ms-01,27.03,72.97,-45.94,0.00
ms-02,60.1,39.9,+20.20,0.00
ms-03,29.26,70.74,-41.48,0.00
ms-04,24.6,73.35,-48.75,2.05
mt-01,46.49,49.65,-3.16,3.86
mt-02,20.16,56.56,-36.40,23.28
nc-01,52.37,47.63,+4.74,0.00
nc-02,64.68,35.32,+29.36,0.00
nc-03,33.1,66.9,-33.80,0.00
nc-04,66.91,33.09,+33.82,0.00
nc-05,36.85,63.15,-26.30,0.00
nc-06,53.88,45.03,+8.85,1.09
nc-07,42.29,57.71,-15.42,0.00
nc-08,30.09,69.91,-39.82,0.00
nc-09,43.5,56.5,-13.00,0.00
nc-10,27.28,72.59,-45.31,0.13
nc-11,44.51,53.79,-9.28,1.70
nc-12,62.75,37.25,+25.50,0.00
nc-13,51.59,48.41,+3.18,0.00
nc-14,57.71,42.29,+15.42,0.00
nd-00,--,62.2,--,37.80
ne-01,42.09,57.91,-15.82,0.00
ne-02,48.67,51.33,-2.66,0.00
ne-03,15.79,78.3,-62.51,5.91
nh-01,54,45.89,+8.11,0.11
nh-02,55.8,44.08,+11.72,0.12
nj-01,62.34,35.19,+27.15,2.47
nj-02,39.97,58.87,-18.90,1.16
nj-03,55.46,43.64,+11.82,0.90
nj-04,31.37,66.92,-35.55,1.71
nj-05,54.73,44.32,+10.41,0.95
nj-06,57.45,41.01,+16.44,1.54
nj-07,48.6,51.4,-2.80,0.00
nj-08,72.88,24.22,+48.66,2.90
nj-09,54.93,43.63,+11.30,1.44
nj-10,77.6,20.09,+57.51,2.31
nj-11,58.99,40.18,+18.81,0.83
nj-12,63.12,35.91,+27.21,0.97
nm-01,55.75,44.23,+11.52,0.02
nm-02,50.34,49.64,+0.70,0.02
nm-03,58.16,41.84,+16.32,0.00
nv-01,51.57,45.96,+5.61,2.47
nv-02,37.8,59.73,-21.93,2.47
nv-03,51.98,48.02,+3.96,0.00
nv-04,52.42,47.58,+4.84,0.00
ny-01,42.37,48.29,-5.92,9.34
ny-02,37.46,52.52,-15.06,10.02
ny-03,44.24,49.33,-5.09,6.43
ny-04,48.19,47.63,+0.56,4.18
ny-05,75.11,22.6,+52.51,2.29
ny-06,63.89,33.25,+30.64,2.86
ny-07,64.49,17.77,+46.72,17.74
ny-08,71.63,26.59,+45.04,1.78
ny-09,69.36,--,--,30.64
ny-10,83.49,13.89,+69.60,2.62
ny-11,38.17,57.41,-19.24,4.42
ny-12,75.12,16.66,+58.46,8.22
ny-13,98.93,--,--,1.07
ny-14,63.4,27.34,+36.06,9.26
ny-15,82.7,17.19,+65.51,0.11
ny-16,61.09,35.66,+25.43,3.25
ny-17,46.76,44.05,+2.71,9.19
ny-18,46.12,43.8,+2.32,10.08
ny-19,43.25,45.18,-1.93,11.57
ny-20,50.07,38.05,+12.02,11.88
ny-21,39.51,52.82,-13.31,7.67
ny-22,49.48,43.38,+6.10,7.14
ny-23,35.05,54.87,-19.82,10.08
ny-24,34.27,56.39,-22.12,9.34
ny-25,49.54,38.25,+11.29,12.21
ny-26,57.85,28.75,+29.10,13.40
oh-01,52.76,47.24,+5.52,0.00
oh-02,25.5,74.5,-49.00,0.00
oh-03,70.45,29.54,+40.91,0.01
oh-04,30.81,69.19,-38.38,0.00
oh-05,33.09,66.91,-33.82,0.00
oh-06,32.28,67.72,-35.44,0.00
oh-07,44.63,55.34,-10.71,0.03
oh-08,35.36,64.64,-29.28,0.00
oh-09,56.63,43.37,+13.26,0.00
oh-10,38.33,61.67,-23.34,0.00
oh-11,77.75,22.25,+55.50,0.00
oh-12,30.73,69.27,-38.54,0.00
oh-13,52.68,47.32,+5.36,0.00
oh-14,38.26,61.74,-23.48,0.00
oh-15,43.04,56.96,-13.92,0.00
ok-01,34.68,61.16,-26.48,4.16
ok-02,23.39,72.45,-49.06,4.16
ok-03,25.46,74.54,-49.08,0.00
ok-04,33.25,66.75,-33.50,0.00
ok-05,37.4,59,-21.60,3.60
or-01,67.91,31.92,+35.99,0.17
or-02,32.36,67.5,-35.14,0.14
or-03,69.93,26.3,+43.63,3.77
or-04,50.54,43.07,+7.47,6.39
or-05,48.83,50.91,-2.08,0.26
or-06,49.99,47.54,+2.45,2.47
pa-01,45.13,54.87,-9.74,0.00
pa-02,75.65,24.35,+51.30,0.00
pa-03,95.14,--,--,4.86
pa-04,61.29,38.71,+22.58,0.00
pa-05,65.08,34.92,+30.16,0.00
pa-06,58.31,41.69,+16.62,0.00
pa-07,50.98,49.02,+1.96,0.00
pa-08,51.22,48.78,+2.44,0.00
pa-09,30.69,69.31,-38.62,0.00
pa-10,46.17,53.83,-7.66,0.00
pa-11,38.45,61.55,-23.10,0.00
pa-12,56.2,43.8,+12.40,0.00
pa-13,--,100,--,0.00
pa-14,--,100,--,0.00
pa-15,30.06,69.94,-39.88,0.00
pa-16,40.64,59.36,-18.72,0.00
pa-17,53.39,46.61,+6.78,0.00
ri-01,64.01,35.76,+28.25,0.23
ri-02,50.44,46.73,+3.71,2.83
sc-01,42.47,56.39,-13.92,1.14
sc-02,39.85,60.01,-20.16,0.14
sc-03,--,97.64,--,2.36
sc-04,--,90.81,--,9.19
sc-05,34.46,64.01,-29.55,1.53
sc-06,62.04,37.85,+24.19,0.11
sc-07,35.07,64.77,-29.70,0.16
sd-00,--,77.42,--,22.58
tn-01,19.71,78.32,-58.61,1.97
tn-02,32.09,67.91,-35.82,0.00
tn-03,30.19,68.38,-38.19,1.43
tn-04,25.74,70.57,-44.83,3.69
tn-05,42.32,55.84,-13.52,1.84
tn-06,33.67,66.33,-32.66,0.00
tn-07,38.14,59.96,-21.82,1.90
tn-08,24.3,73.99,-49.69,1.71
tn-09,70.04,26.23,+43.81,3.73
tx-01,21.92,78.08,-56.16,0.00
tx-02,34.09,65.91,-31.82,0.00
tx-03,36.91,60.55,-23.64,2.54
tx-04,30.93,66.71,-35.78,2.36
tx-05,33.93,63.97,-30.04,2.10
tx-06,--,100,--,0.00
tx-07,63.79,36.21,+27.58,0.00
tx-08,30.54,68.07,-37.53,1.39
tx-09,76.68,23.32,+53.36,0.00
tx-10,34.3,63.3,-29.00,2.40
tx-11,--,100,--,0.00
tx-12,35.73,64.27,-28.54,0.00
tx-13,24.65,75.35,-50.70,0.00
tx-14,29.84,70.16,-40.32,0.00
tx-15,44.83,53.31,-8.48,1.86
tx-16,63.46,36.54,+26.92,0.00
tx-17,33.52,66.48,-32.96,0.00
tx-18,70.72,26.2,+44.52,3.08
tx-19,--,80.3,--,19.70
tx-20,68.42,31.57,+36.85,0.01
tx-21,37.16,62.84,-25.68,0.00
tx-22,35.51,62.19,-26.68,2.30
tx-23,38.77,55.87,-17.10,5.36
tx-24,40.25,59.75,-19.50,0.00
tx-25,--,100,--,0.00
tx-26,--,69.29,--,30.71
tx-27,35.56,64.44,-28.88,0.00
tx-28,56.65,43.35,+13.30,0.00
tx-29,71.41,28.59,+42.82,0.00
tx-30,74.72,21.72,+53.00,3.56
tx-31,--,100,--,0.00
tx-32,65.36,34.64,+30.72,0.00
tx-33,71.98,25.61,+46.37,2.41
tx-34,52.73,44.23,+8.50,3.04
tx-35,72.58,27.42,+45.16,0.00
tx-36,30.54,69.46,-38.92,0.00
tx-37,76.76,20.97,+55.79,2.27
tx-38,35.52,62.95,-27.43,1.53
ut-01,33.03,66.97,-33.94,0.00
ut-02,34.01,59.71,-25.70,6.28
ut-03,29.53,64.4,-34.87,6.07
ut-04,32.35,61.05,-28.70,6.60
va-01,42.96,55.97,-13.01,1.07
va-02,48.22,51.63,-3.41,0.15
va-03,67.19,32.56,+34.63,0.25
va-04,64.92,34.9,+30.02,0.18
va-05,42.24,57.57,-15.33,0.19
va-06,35.44,64.39,-28.95,0.17
va-07,52.21,47.56,+4.65,0.23
va-08,73.53,24.76,+48.77,1.71
va-09,26.54,73.24,-46.70,0.22
va-10,53.15,46.65,+6.50,0.20
va-11,66.69,33.01,+33.68,0.30
vt-00,62.58,27.8,+34.78,9.62
wa-01,63.48,36.39,+27.09,0.13
wa-02,60.07,39.75,+20.32,0.18
wa-03,50.14,49.31,+0.83,0.55
wa-04,31.2,66.46,-35.26,2.34
wa-05,40.25,59.51,-19.26,0.24
wa-06,60,39.89,+20.11,0.11
wa-07,85.39,14.2,+71.19,0.41
wa-08,53.27,46.42,+6.85,0.31
wa-09,71.61,28.2,+43.41,0.19
wa-10,56.97,42.87,+14.10,0.16
wi-01,45.14,54.05,-8.91,0.81
wi-02,70.99,26.92,+44.07,2.09
wi-03,48.12,51.82,-3.70,0.06
wi-04,75.27,22.61,+52.66,2.12
wi-05,35.55,64.39,-28.84,0.06
wi-06,--,94.93,--,5.07
wi-07,38.1,61.85,-23.75,0.05
wi-08,--,72.21,--,27.79
wv-01,28.8,66.69,-37.89,4.51
wv-02,34.43,65.57,-31.14,0.00
wy-00,24.37,68.18,-43.81,7.45